"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1416","Авторизация стабильна при 10 последовательных входах","tests.web","Tue Jun 23 11:00:18 UTC 2026","passed","Tue Jun 23 11:00:20 UTC 2026","TestPerformance","test_performance","",""
"","962","Добавить товар → page.reload() → товар в корзине","tests.mobile","Tue Jun 23 10:59:09 UTC 2026","passed","Tue Jun 23 10:59:10 UTC 2026","TestMobileUX","test_mobile_ux","",""
"","55","При сортировке товаров по убыванию цены товары располагаются от большей к меньшей цене","tests.web","Tue Jun 23 11:00:11 UTC 2026","passed","Tue Jun 23 11:00:11 UTC 2026","TestInventory","test_inventory","",""
"","349","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:27 UTC 2026","passed","Tue Jun 23 10:59:28 UTC 2026","TestLogin","test_auth","",""
"","3164","Эмуляция prefers-reduced-motion: анимации отключены/упрощены, контент доступен","tests.mobile","Tue Jun 23 10:57:53 UTC 2026","passed","Tue Jun 23 10:57:57 UTC 2026","TestCrossDevice","test_cross_device","",""
"","1576","Параллельный запуск на 3 устройствах: сессии изолированы, тесты не влияют друг на друга","tests.mobile","Tue Jun 23 10:58:05 UTC 2026","passed","Tue Jun 23 10:58:07 UTC 2026","TestCrossDevice","test_cross_device","",""
"","627","Проверка, что сайт не требует зума/горизонтального скролла","tests.mobile","Tue Jun 23 10:58:43 UTC 2026","passed","Tue Jun 23 10:58:44 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","568","Кнопка Continue Shopping возвращает пользователя на страницу товаров","tests.web","Tue Jun 23 10:59:39 UTC 2026","passed","Tue Jun 23 10:59:40 UTC 2026","TestCart","test_cart","",""
"","381","Пользователь может авторизоваться в разных браузерах и разрешениях","tests.web","Tue Jun 23 10:59:55 UTC 2026","passed","Tue Jun 23 10:59:56 UTC 2026","","test_cross_browser","",""
"","347","test_check_mobile_001[mobile_page0]","SauceDemo mobile","Tue Jun 23 10:58:16 UTC 2026","passed","Tue Jun 23 10:58:16 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","628","Изображения не выходят за пределы контейнера","tests.mobile","Tue Jun 23 10:58:48 UTC 2026","passed","Tue Jun 23 10:58:49 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","591","Содержимое корзины сохраняется после перезагрузки страницы","tests.web","Tue Jun 23 10:59:41 UTC 2026","passed","Tue Jun 23 10:59:42 UTC 2026","TestCart","test_cart","",""
"","5502","test_check_mobile_002[mobile_page0]","SauceDemo mobile","Tue Jun 23 10:58:17 UTC 2026","passed","Tue Jun 23 10:58:22 UTC 2026","TestCheckoutMobile","test_l42_mobile","",""
"","235","Пользователь не может продолжить оформление заказа, если поле First Name, Last Name, Postal Code не заполнено","tests.web","Tue Jun 23 10:59:45 UTC 2026","passed","Tue Jun 23 10:59:45 UTC 2026","TestCheckout","test_checkout","",""
"","359","Пользователь не может войти с невалидными данными","tests.web","Tue Jun 23 10:59:29 UTC 2026","passed","Tue Jun 23 10:59:30 UTC 2026","TestLogin","test_auth","",""
"","358","Авторизация на сайте успешна","tests.web","Tue Jun 23 11:00:15 UTC 2026","passed","Tue Jun 23 11:00:16 UTC 2026","TestLogin","test_login","",""
"","97","После добавления товара в корзину сортировка по убыванию цены работает корректно","tests.web","Tue Jun 23 11:00:13 UTC 2026","passed","Tue Jun 23 11:00:13 UTC 2026","TestInventory","test_inventory","",""
"","58","Основной текст ≥14px, заголовки ≥18px","tests.mobile","Tue Jun 23 10:58:47 UTC 2026","passed","Tue Jun 23 10:58:47 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","691","Бэкенд получает мобильный UA: ответ содержит мобильные классы и структуру","tests.mobile","Tue Jun 23 10:58:00 UTC 2026","passed","Tue Jun 23 10:58:01 UTC 2026","TestCrossDevice","test_cross_device","",""
"","499","Пользователь остаётся авторизованным после перезагрузки страницы","tests.web","Tue Jun 23 10:59:33 UTC 2026","passed","Tue Jun 23 10:59:34 UTC 2026","TestLogin","test_auth","",""
"","1977","Все ссылки в бургер-меню кликабельны, меню закрывается","tests.mobile","Tue Jun 23 10:59:12 UTC 2026","passed","Tue Jun 23 10:59:14 UTC 2026","TestNavigation","test_navigation_ui","",""
"","755","Счётчик корзины не дублируется при повторном добавлении одного товара","tests.web","Tue Jun 23 10:59:36 UTC 2026","passed","Tue Jun 23 10:59:37 UTC 2026","TestCart","test_cart","",""
"","1943","Проверка, что contextmenu не появляется при long_press","tests.mobile","Tue Jun 23 10:58:55 UTC 2026","passed","Tue Jun 23 10:58:57 UTC 2026","TestMobileTouch","test_mobile_touch","",""
"","60","Все интерактивные элементы ≥20×20 px","tests.mobile","Tue Jun 23 10:58:46 UTC 2026","passed","Tue Jun 23 10:58:46 UTC 2026","TestMobileResponsive","test_mobile_responsive","",""
"","372","Пользователь может войти с валидными данными","tests.web","Tue Jun 23 10:59:17 UTC 2026","passed","Tue Jun 23 10:59:17 UTC 2026","TestLogin","test_auth","",""
"","1472","Запуск на эмуляции iPhone 14 Pro, Pixel 7, iPad Mini","tests.mobile","Tue Jun 23 10:57:46 UTC 2026","passed","Tue Jun 23 10:57:47 UTC 2026","TestCrossDevice","test_cross_device","",""
