"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart","3","0","Adding items to cart","0"
"0","","0","Navigation UI","1","0","Burger menu links are clickable and sidebar can be closed","0"
"0","","0","Cross-Device","3","0","Артефакты для отладки","0"
"0","","0","Cart","1","0","Removing items from cart","0"
"0","","0","UI Performance","1","0","Page Load","0"
"0","","0","Touch","1","0","Long press does not bring up the system context menu","0"
"0","","0","Checkout","4","0","Filling personal information form","0"
"0","","0","Touch","1","0","Elements do not overlap each other","0"
"0","","0","UI Performance","1","0","Login Performance","0"
"0","","0","Navigation UI","2","0","Add to cart buttons are clickable","0"
"0","","0","Login","5","0","Successful login","0"
"0","","0","Login","1","0","Verifying authorize is successful","0"
"0","","0","Mobile Performance","9","0","Производительность на мобильных сетях","0"
"0","","0","","7","0","Login","0"
"0","","0","Cart","1","0","Navigation from cart","0"
"0","","0","Мобильный UX и доступность","1","0","Состояние корзины сохраняется при перезагрузке (sessionStorage)","0"
"0","","0","Login","6","0","Login with invalid data","0"
"0","","0","Cross-Device","2","0","User-Agent мобильного браузера","0"
"0","","0","Inventory","1","0","Verifying inventory items count on the main page","0"
"0","","0","Cross-Device","3","0","Изоляция контекстов","0"
"0","Saucedemo mobile","0","","4","0","","0"
"0","","0","Touch","1","0","Multiple clicks do not increase the amount of goods in bucket","0"
"0","","0","Cross-Device","3","0","Базовый сценарий покупки","0"
"0","","0","Touch","1","0","Double tap and zoom","0"
"0","","0","Responsive","1","0","Minimum size of tap targets","0"
"0","","0","Мобильный UX и доступность","1","0","page.go_back() → возврат на предыдущую страницу","0"
"0","","0","Checkout","2","0","Navigation from checkout","0"
"0","","0","Touch","1","0","Swipe in the inventory page","0"
"0","","0","Inventory","1","0","Verifying inventory items sorting by price in descending order","0"
"0","","0","Мобильный UX и доступность","1","0","Проверка accessibility-атрибутов","0"
"0","","0","Cart","2","0","Cart persistence","0"
"0","","0","Responsive","1","0","Correct display when screen is rotated (landscape)","0"
"0","","0","Checkout","2","0","Order summary","0"
"0","","0","UI Performance","1","0","Memory Usage","0"
"0","","0","Cross-Device","2","0","Доступность","0"
"0","","0","Responsive","1","0","Responsive menu (hamburger) on mobile devices","0"
"0","","0","Inventory","1","0","Verifying inventory items images on the main page","0"
"0","","0","UI Performance","1","0","Network Conditions","0"
"0","","0","Cross-Device","2","0","Проверка ретина-экранов","0"
"0","","0","Мобильный UX и доступность","1","0","Пустой логин → ошибка → Epic sadface: Username is required","0"
"0","","0","Cross-Device","1","0","Локализация и часовой пояс","0"
"0","","0","Responsive","1","0","No horizontal scrolling on all pages","0"
"0","","0","Мобильный UX и доступность","2","0","Контраст","0"
"0","","0","Responsive","1","0","Images are scaled correctly","0"
"0","","0","Мобильный UX и доступность","1","0","Кликабельность элементов","0"
"0","","0","Cart","1","0","Cart state","0"
"0","","0","Inventory","1","0","Verifying inventory items prices on the main page","0"
"0","","0","Inventory","1","0","Verifying inventory items sorting by price in ascending order","0"
"0","","0","Responsive","1","0","Correct viewport on iPhone 14 Pro","0"
"0","","0","Login","1","0","User remains authorized after page reload","0"
"0","","0","Inventory","1","0","Verifying inventory item page opened after clicking inventory image","0"
"0","","0","Responsive","1","0","Correct viewport on Pixel 7","0"
"0","","0","Inventory","1","0","Verifying inventory items sorting by name in ascending order","0"
"0","","0","Login","1","0","Login after 5 unsuccessful login attempts with incorrect password","0"
"0","","0","E2E checkout flow","1","0","Полный цикл заказа на мобильном устройстве","0"
"0","","0","Мобильный UX и доступность","1","0","Эмуляция keyboard.press(Tab)","0"
"0","","0","Responsive","1","0","The fonts are readable without zooming","0"
"0","","0","UI Performance","1","0","Stability","0"
"0","","0","Cart","1","0","Cart item details","0"
"0","","0","Inventory","1","0","Verifying inventory items sorting after adding item to cart","0"
"0","","0","E2E","1","0","Ordering an Item","0"
"0","","0","Inventory","1","0","Verifying inventory items names on the main page","0"
"0","","0","Inventory","1","0","Removing item from cart on item detail page","0"
